Feature_Index,Scale,Descriptor,Feature_Name,Gini_Importance,Criterion
0,0,1,Scale0_Desc1,0.0,gini
1,0,2,Scale0_Desc2,0.0,gini
2,0,3,Scale0_Desc3,1.3064790610922532e-07,gini
3,0,4,Scale0_Desc4,0.0,gini
4,0,5,Scale0_Desc5,0.0,gini
5,0,6,Scale0_Desc6,0.0,gini
6,0,7,Scale0_Desc7,0.0,gini
7,0,8,Scale0_Desc8,0.0,gini
8,0,9,Scale0_Desc9,0.0,gini
9,0,10,Scale0_Desc10,0.0,gini
10,0,11,Scale0_Desc11,0.0,gini
11,0,12,Scale0_Desc12,0.0,gini
12,0,13,Scale0_Desc13,0.0,gini
13,0,14,Scale0_Desc14,0.0,gini
14,0,15,Scale0_Desc15,0.0,gini
15,0,16,Scale0_Desc16,0.0,gini
16,0,17,Scale0_Desc17,0.0,gini
17,0,18,Scale0_Desc18,2.0549180304826034e-05,gini
18,0,19,Scale0_Desc19,0.0,gini
19,0,20,Scale0_Desc20,5.969009923781755e-07,gini
20,1,1,Scale1_Desc1,0.0,gini
21,1,2,Scale1_Desc2,0.0,gini
22,1,3,Scale1_Desc3,0.0,gini
23,1,4,Scale1_Desc4,0.0,gini
24,1,5,Scale1_Desc5,0.0,gini
25,1,6,Scale1_Desc6,0.00022381167241070717,gini
26,1,7,Scale1_Desc7,0.0,gini
27,1,8,Scale1_Desc8,0.0,gini
28,1,9,Scale1_Desc9,0.0,gini
29,1,10,Scale1_Desc10,6.221447645751378e-07,gini
30,1,11,Scale1_Desc11,0.0,gini
31,1,12,Scale1_Desc12,0.0,gini
32,1,13,Scale1_Desc13,0.0,gini
33,1,14,Scale1_Desc14,0.0,gini
34,1,15,Scale1_Desc15,0.0,gini
35,1,16,Scale1_Desc16,0.0,gini
36,1,17,Scale1_Desc17,0.0,gini
37,1,18,Scale1_Desc18,0.0,gini
38,1,19,Scale1_Desc19,0.0,gini
39,1,20,Scale1_Desc20,0.0,gini
40,2,1,Scale2_Desc1,0.0,gini
41,2,2,Scale2_Desc2,0.0,gini
42,2,3,Scale2_Desc3,0.0,gini
43,2,4,Scale2_Desc4,0.0,gini
44,2,5,Scale2_Desc5,0.0,gini
45,2,6,Scale2_Desc6,0.0001129442581579838,gini
46,2,7,Scale2_Desc7,0.0,gini
47,2,8,Scale2_Desc8,0.0,gini
48,2,9,Scale2_Desc9,0.0,gini
49,2,10,Scale2_Desc10,0.0,gini
50,2,11,Scale2_Desc11,0.0,gini
51,2,12,Scale2_Desc12,0.0,gini
52,2,13,Scale2_Desc13,0.00011696890501453911,gini
53,2,14,Scale2_Desc14,0.0,gini
54,2,15,Scale2_Desc15,2.783568925137287e-19,gini
55,2,16,Scale2_Desc16,0.0,gini
56,2,17,Scale2_Desc17,0.001595330922831492,gini
57,2,18,Scale2_Desc18,0.00025069460358204565,gini
58,2,19,Scale2_Desc19,0.0,gini
59,2,20,Scale2_Desc20,0.0,gini
60,3,1,Scale3_Desc1,0.0,gini
61,3,2,Scale3_Desc2,0.0,gini
62,3,3,Scale3_Desc3,0.0,gini
63,3,4,Scale3_Desc4,0.0,gini
64,3,5,Scale3_Desc5,0.0,gini
65,3,6,Scale3_Desc6,0.0,gini
66,3,7,Scale3_Desc7,0.0,gini
67,3,8,Scale3_Desc8,0.0,gini
68,3,9,Scale3_Desc9,0.0,gini
69,3,10,Scale3_Desc10,4.923429489036389e-07,gini
70,3,11,Scale3_Desc11,0.0,gini
71,3,12,Scale3_Desc12,0.0,gini
72,3,13,Scale3_Desc13,0.0,gini
73,3,14,Scale3_Desc14,0.0,gini
74,3,15,Scale3_Desc15,0.0,gini
75,3,16,Scale3_Desc16,0.0,gini
76,3,17,Scale3_Desc17,0.0,gini
77,3,18,Scale3_Desc18,0.0,gini
78,3,19,Scale3_Desc19,0.0,gini
79,3,20,Scale3_Desc20,0.0,gini
80,4,1,Scale4_Desc1,0.0,gini
81,4,2,Scale4_Desc2,0.0,gini
82,4,3,Scale4_Desc3,0.0,gini
83,4,4,Scale4_Desc4,0.0,gini
84,4,5,Scale4_Desc5,0.0,gini
85,4,6,Scale4_Desc6,0.0,gini
86,4,7,Scale4_Desc7,0.0,gini
87,4,8,Scale4_Desc8,0.0,gini
88,4,9,Scale4_Desc9,0.0,gini
89,4,10,Scale4_Desc10,0.0,gini
90,4,11,Scale4_Desc11,0.0,gini
91,4,12,Scale4_Desc12,0.0,gini
92,4,13,Scale4_Desc13,0.0,gini
93,4,14,Scale4_Desc14,0.0,gini
94,4,15,Scale4_Desc15,0.0,gini
95,4,16,Scale4_Desc16,0.0,gini
96,4,17,Scale4_Desc17,0.0,gini
97,4,18,Scale4_Desc18,0.0,gini
98,4,19,Scale4_Desc19,0.0,gini
99,4,20,Scale4_Desc20,0.0,gini
100,5,1,Scale5_Desc1,0.0,gini
101,5,2,Scale5_Desc2,0.0,gini
102,5,3,Scale5_Desc3,0.0,gini
103,5,4,Scale5_Desc4,0.0,gini
104,5,5,Scale5_Desc5,0.0,gini
105,5,6,Scale5_Desc6,0.0,gini
106,5,7,Scale5_Desc7,0.0,gini
107,5,8,Scale5_Desc8,0.0,gini
108,5,9,Scale5_Desc9,0.0,gini
109,5,10,Scale5_Desc10,0.0,gini
