Rank,Descriptor,Total_Importance,Percentage,Criterion
1,1,0.9135377394357811,91.35377394357812,gini
2,19,0.07538325270764988,7.5383252707649895,gini
3,8,0.005866893588520837,0.5866893588520837,gini
4,17,0.001595330922831492,0.1595330922831492,gini
5,18,0.0011618447073254786,0.11618447073254788,gini
6,6,0.0009606178170922567,0.09606178170922568,gini
7,12,0.0005613098629173202,0.056130986291732035,gini
8,7,0.00020543649101833475,0.020543649101833476,gini
9,5,0.0001389873814430776,0.013898738144307763,gini
10,3,0.00013179053989388165,0.013179053989388168,gini
11,13,0.00011696890501453911,0.011696890501453913,gini
12,2,0.00011300892998461942,0.011300892998461943,gini
13,10,9.519894093278991e-05,0.009519894093278993,gini
14,14,7.025661538384735e-05,0.007025661538384737,gini
15,11,3.082294061469389e-05,0.00308229406146939,gini
16,9,2.9402224975954072e-05,0.0029402224975954077,gini
17,20,5.969009923781755e-07,5.969009923781756e-05,gini
18,16,5.41087627515354e-07,5.410876275153541e-05,gini
19,15,2.783568925137287e-19,2.7835689251372874e-17,gini
20,4,0.0,0.0,gini
