Feature_Index,Scale,Descriptor,Feature_Name,Gini_Importance
0,0,1,Scale0_Desc1,0.037158072198340754
1,0,2,Scale0_Desc2,0.0030583775492788057
2,0,3,Scale0_Desc3,5.1827129588925444e-05
3,0,4,Scale0_Desc4,2.7826454010841276e-05
4,0,5,Scale0_Desc5,6.407631224676922e-06
5,0,6,Scale0_Desc6,0.00029991175190071523
6,0,7,Scale0_Desc7,5.143664448384513e-05
7,0,8,Scale0_Desc8,2.093374373213987e-05
8,0,9,Scale0_Desc9,1.0494616311577297e-05
9,0,10,Scale0_Desc10,2.2775105897132288e-05
10,0,11,Scale0_Desc11,0.01565981626664356
11,0,12,Scale0_Desc12,8.198605235895964e-06
12,0,13,Scale0_Desc13,2.7468000491427264e-05
13,0,14,Scale0_Desc14,1.6603021859983198e-05
14,0,15,Scale0_Desc15,1.6372343623202154e-06
15,0,16,Scale0_Desc16,5.368512959656057e-05
16,0,17,Scale0_Desc17,0.00014793644806461442
17,0,18,Scale0_Desc18,0.00013602320722075798
18,0,19,Scale0_Desc19,0.0005724123136347265
19,0,20,Scale0_Desc20,5.735418242559431e-07
20,1,1,Scale1_Desc1,0.018754488884605767
21,1,2,Scale1_Desc2,0.002420419576733748
22,1,3,Scale1_Desc3,0.00022898532256723667
23,1,4,Scale1_Desc4,0.0002486739182746298
24,1,5,Scale1_Desc5,8.08272794021112e-06
25,1,6,Scale1_Desc6,0.0006934571000973352
26,1,7,Scale1_Desc7,1.1853486516703575e-05
27,1,8,Scale1_Desc8,1.9879064091665878e-07
28,1,9,Scale1_Desc9,2.045092262176735e-06
29,1,10,Scale1_Desc10,9.525901134065865e-06
30,1,11,Scale1_Desc11,6.0984334283445066e-05
31,1,12,Scale1_Desc12,6.3655840817532595e-06
32,1,13,Scale1_Desc13,3.2437890289214293e-06
33,1,14,Scale1_Desc14,4.4724658129541394e-06
34,1,15,Scale1_Desc15,2.065106797566037e-06
35,1,16,Scale1_Desc16,1.128521653085824e-05
36,1,17,Scale1_Desc17,0.00010359738342174423
37,1,18,Scale1_Desc18,0.04217256366990835
38,1,19,Scale1_Desc19,4.610665798239347e-06
39,1,20,Scale1_Desc20,1.376440839542745e-05
40,2,1,Scale2_Desc1,0.029763711140700914
41,2,2,Scale2_Desc2,0.002041513462494673
42,2,3,Scale2_Desc3,0.0002487557850604069
43,2,4,Scale2_Desc4,0.0002697396772627853
44,2,5,Scale2_Desc5,2.0400333302412628e-05
45,2,6,Scale2_Desc6,0.0001640156724048326
46,2,7,Scale2_Desc7,2.77623022814907e-05
47,2,8,Scale2_Desc8,1.4106922870752757e-05
48,2,9,Scale2_Desc9,3.3166391008420156e-06
49,2,10,Scale2_Desc10,4.20390787916753e-05
50,2,11,Scale2_Desc11,1.4142906951555659e-05
51,2,12,Scale2_Desc12,1.4203121673905664e-05
52,2,13,Scale2_Desc13,4.061678904163733e-05
53,2,14,Scale2_Desc14,8.399216109948036e-07
54,2,15,Scale2_Desc15,8.21226628335918e-07
55,2,16,Scale2_Desc16,2.5235517347425565e-05
56,2,17,Scale2_Desc17,0.0001066729664273182
57,2,18,Scale2_Desc18,0.008546626358228867
58,2,19,Scale2_Desc19,0.0006508092592968744
59,2,20,Scale2_Desc20,9.031873749244122e-06
60,3,1,Scale3_Desc1,0.04945282792882186
61,3,2,Scale3_Desc2,0.003306878612027607
62,3,3,Scale3_Desc3,0.00030268514676009894
63,3,4,Scale3_Desc4,8.768492097186008e-06
64,3,5,Scale3_Desc5,8.14106119493033e-06
65,3,6,Scale3_Desc6,0.00016066377103529566
66,3,7,Scale3_Desc7,2.954658425587859e-05
67,3,8,Scale3_Desc8,1.7728681376781475e-05
68,3,9,Scale3_Desc9,3.1214967539589074e-07
69,3,10,Scale3_Desc10,4.2431307017721766e-05
70,3,11,Scale3_Desc11,0.00788179838043492
71,3,12,Scale3_Desc12,2.6259320665997838e-05
72,3,13,Scale3_Desc13,1.1139253392854403e-05
73,3,14,Scale3_Desc14,9.060624831703502e-06
74,3,15,Scale3_Desc15,5.824927385263131e-06
75,3,16,Scale3_Desc16,2.686087877704841e-06
76,3,17,Scale3_Desc17,0.006756393427266162
77,3,18,Scale3_Desc18,0.008626202811611524
78,3,19,Scale3_Desc19,5.453857758309856e-06
