Rank,Descriptor,Total_Importance,Percentage
1,1,0.5715347755280306,57.153477552803054
2,18,0.19725420752622616,19.725420752622615
3,11,0.0503092885955883,5.03092885955883
4,17,0.03898801951696643,3.8988019516966426
5,2,0.030560375510545326,3.0560375510545326
6,13,0.020643512401796772,2.0643512401796773
7,12,0.0198552236778955,1.98552236778955
8,3,0.018415626987485757,1.8415626987485758
9,8,0.014508684658456712,1.4508684658456712
10,19,0.011587068051577689,1.158706805157769
11,6,0.008969259577761356,0.8969259577761356
12,20,0.0070612293874128965,0.7061229387412896
13,16,0.004133254752968172,0.4133254752968172
14,4,0.0038959750750598657,0.3895975075059866
15,7,0.0009685985982339269,0.0968598598233927
16,5,0.0006101235894725053,0.06101235894725053
17,10,0.00025582339320373435,0.025582339320373435
18,9,0.00022916565517069307,0.022916565517069307
19,14,0.00017993128446878458,0.01799312844687846
20,15,3.9856231678775115e-05,0.003985623167877511
